id	doc	target
35	Она несовершенолетная.  Ей пох эти расследования В ответке тренера и врачи	0
36	Эволюция - мне нравится этот фильм.	0
37	Нет.	0
38	ну вот. Оснований для паники нет.	0
39	... или воины бомбовозы будут бомбить города, а Украинские ПВО будут боятся их сбить. А вдруг,.?!	0
40	Иногда это единственный способ отдохнуть.	0
41	в 99.9% да, ну ещё пару стран восточной Европы. Цивилизованным людям плевать, отсюда кстати и у ведьмака такая огромная популярность	0
42	Я неделю не мог к врачу на прием попасть! Минздрав нам врал о пользе вакцинации, а получил от неё обратный эффект - который мы все видим! А теперь, когда врачей не хватает - они нас подозревают в обмане! В зеркало посмотрите!	0
43	О уже 19-20, а до этого было 15-16??. А до этого католическое Рождество. Новогодние праздники. День, когда промерзнет земля. День открытия олимпиады. ??????	0
44	причём тут олимпиада. Там есть хоккей,  который по сравнению с этими игрищами, которые кто-то назвал футболом, настоящая мужская игра	0
45	так только в кремлеботы и берут, больных и тварей	1
46	он на больничном, отстань от старичка	0
47	Похоже, что я живу не в  России, а в Чечне.	0
48	Может, потому, что не слишком-то эффективная. И получше имеются	0
49	id452831118|Александр],	0
50	и чё? Как будто в России в связях с бандитами власть не замечена	0
51	спасибо за интервью. желаю ему победы	0
52	Как не могут? А как же 16 февраля?Опять обманули?	0
53	так ДНР будет нам поставлять доп угл , а мы его продавать	0
54	в Кремле и в лучшие годы не понимали, как им на что-то реагировать, а сейчас им такие вот квесты подкидывают. А американцам в любой ситуации будет норм, это уж точно.	0
55	мы это на своей шкуре ощущаем,какой то полуголодный порядок	0
56	ну Вы не правы,при Шойгу армия стала одной из сильнейших в мире при относительно не больших расходах,цена-качество...	0
57	Пять слов для любимого Лентача	0
58	Это губернатор Кузбасса-Цивилев?	0
59	рот жопа и тд любимая тема выродка	1
60	дааа. Вот то ли дело ММА, где два потных мужика нюхают друг другу промежность и подмышки. Вот это спорт, это серьёзно. А на самом деле, если у тебя есть психические отклонения, то лучше помалкивать в таких случаях, дабы поменьше палиться.	1
61	эта шутка никогда не устареет:)	0
62	Это самка орков или что?	0
63	ну мне было лет 15 в те года, так что для меня это действительно прошло не заметно	0
64	методички пропагандиста вакцинации... Если вакцинировались то: 1) если какие - то осложнения то это вы сами такой больной а вовсе не вакцина так подействовала... 2) если заболели ковидом через несколько дней то это по дороге на вакцинацию но точно не из - за самой вакцины... Потому что наша вакцина самая лучшая а весь мир нам завидует... 3) если заболели через несколько недель то это потому что ещё иммунитет не сработал... 4) если заболели через 3 - 4 месяца то это потому что уже снизился уровень антител... 5) если заболели между пунктом 3 и 4 то «вас же предупреждали что не у всех антитела вырабатываются» 6) если заболели в лёгкой форме то это вас вакцина спасла а не ваш иммунитет... 7) если укололись и тяжёло заболели то без прививки ваще бы умерли или как минимум на ИВЛ лежали... 8) если попали после вакцины на ИВЛ или на кладбище то это не от вакцины точно а потому что много других заболеваний было и вообще возраст (без уточнения что именно не так с возрастом) 9) Если не вакцинировались и не заболели то это вам повезло... Вы ещё заболеете причём сразу на ИВЛ... 10) Если не вакцинировались и заболели то сами виноваты ведь правительство о вас заботится (как всегда) 11) А если умерли через полгода после того как пусть даже в лёгкой форме переболели ковидом то это строго от последствий ковида... Не путать с ситуацией когда переболели вакцинировались и умерли... Потому что «вы не понимаете... Это совсем другое»	0
65	Может, проще было созвониться? ??	0
66	даже фотки есть, правда это ещё пару недель назад, но ничего особо не изменилось	0
67	Фух, хорошо, что это Панорама	0
68	как думаешь есть страна, которая может по спутнику позитивную статистику дать?	0
69	"""нам нужны успешные и эффективные собственнтки, невидимая рука рынка все расставит по своим местам"" (журнал ""Огонек"" 1989 год) Ну и кого свободный рынок в Магадан отправит?"	0
70	так каклы клоуны, а Зеля верховный клоун. С ними все понятно. Вова ху9рь	1
71	зачем начинать ныть? Вы думаете, на этом закончилось всё? Отнюдь нет! Всё самое интересное начнётся после Олимпиады, когда настанет время проверкам! Жалко девочку.. Даже, заработав сейчас медаль, она может потом её лишиться! Скажите спасибо тем, кто дал ей то, на чём она погорела!!!	0
72	Меньше будет с иноагентами сотрудничать	0
73	Очень интересно! Спасибо за материал	0
74	а сюда Путин добрался)	0
75	откуда взяли что других не проверяли? Это неправда, так что не стыдитесь. Проверяют всех, в особенности претендующих на медали . Препарат находится в списке запрещенных веществ- значит его быть не должно.	0
76	это мой гугл вас блокирует?(((	0
77	Может нашим спортсменам когда нибудь разрешат не принимать допинг ?	0
78	Ну а я будучи одиноким по своей воли, пожелаю реального личного счастья парочкам которые уже прошли многое вместе и действительно дорожат друг другом. Храните ваше счастье в тишине и заботе, несмотря на зависть со стороны и порой не очень хороших мыслей которыми можете отравить самих себя. А если прям нашли кого-то верного и заботливого к себе, плевать на какие-то минусы и обстоятельства, цените такого человека или по карме останитесь без ничего.	0
79	на третьем фото убийца или сам замглавы?	0
80	похоже на фейк, но по сути так и есть, просрать страну ради обещаний хорошей жизни это надо уметь	0
81	До той поры, пока у власти в России будет стоять Путин, мир не будет знать покоя, и чем раньше он этой поймёт, тем будет лучше для всех нас. Перестаньте считать деньги, примите один раз такие санкции, после которых от Путина и его шайки не должно остаться даже мокрого места и мир восстановится, и вы возвратите свои бабки!	0
82	правильно подметили - остальную статистику скрывают. Сердечников и от онкологии очень много умерло, т.к. им 3-ий год не оказывается мед. помощь.	0
83	... Гусь да гагарочка ??????	0
84	как кто? Байден. Хороший ответ,прокремлевец?	0
85	- Вы готовы дети? - Да, Владимир! - Я не слышу! - Так точно Владимир Владимирович! - Ээээээ, кто окружает Россию скажите! - НАТО, НАТО! - Кто к нам крадётся в подводной пустыне? - НАТО! НАТО! - Кто охуел возле наших границ? - НАТО! НАТО! - Кто бы помог нам у южных границ? - БАТЬКА! БАТЬКА!	0
86	В Чехии напряглись, после предложения депутата Закускина о депортации!	0
87	"Ну наконец-то котлетная фея появилась,а то уж соскучились,все-таки своя славянская ""псаки""!"	0
88	гнусный выродок, перестань путать реальность с вымыслом	1
89	Столько фильмов детства снял. R.i.p	0
90	id133228257|Константин],	0
91	??	0
92	выполнили бы минские соглашения, и проблем бы не было у Украины. Просто США тогда не смогла бы вводить санкции против России.	0
93	не уверен на 100 %, но мне кажется это отсылка к одной из песен из нового альбома Окси в которой упоминается Шульман	0
94	15 числа будет суд над жуликом Навальным. Этот ворюга украл деньги которые ему донатили на выборы! Ему грозит до 15 лет лишения свободы. Об этом вы найдете на канале Дмитрия Пучкова с Ильей Ремесло от 9 февраля. Расследования Навального это фальшивка. Когда он звонил якобы отравителю, то записал три дубля! Все есть в эфире доктора Сосновского на Соловьев live от 7 февраля.  Надеюсь вору Навальному дадут все 15!	1
95	Дебилы!	1
96	Так независимых и нет, судя по вашим статьям из Харькова про воюющих бабок и кухарок против путина.	0
97	какие ценности может  рассматривать патологическое ВОРЬЕ???	1
98	шо, короля цитируем? Пять	0
99	это констатация фактов.  Договорнячок Байдена и Путина работает. Еще не много и киевский режим под давлением США выполнит Минские соглашения-2. И все будут довольны. Россия получит Украины и не расширение НАТО, а Байден обьявит себя миротворцем, тк помог прекратить третью мировую войну и реализовал Минские соглашения-2, что никто не смог сделать 8 лет до него. Все в плюсах, кроме бандер, которых  начнут сажать	0
100	Сколько можно мусолить это	0
101	злопыхатель: азаза, вот десяток ботов, вся Россия с тобой (нет).  Крайний пост в личном Инстаграме Камилы: ТЫСЯЧИ положительных комментариев со словами поддержки.  Pathetic.	0
102	"Нормальные люди: ""Опачки, новая пандемия. Странно, что этого не случилось раньше, при нашей-то плотности населения. Ну что ж, более менее понятно, что делать: то же, что и при любой другой инфекции. Ну и исследовать её, родимую, чтобы скорректировать защитные меры. Хорошо, что мы уже неплохо знаем, как работают вирусы, как работают пандемии и вот это всё."" Сумасшедшие: ""Смотрите, у них паника! Паника! Они во время пандемии делают что-то, чего не делали в остальное время, значит, они паникуют! Они думают, что наступил конец света и из-за этого что-то делают, вот параноики! А из-за того, что они что-то делают, наступит настоящий конец света!"""	0
103	Водителям, которых лишили прав за пьянку надо не в банку а на лицо себе писать	0
104	WP подтвердил, а Пентагон нет... Странно. Кто у кого инфу пи&дит?	0
105	id190831983|Александр],	0
106	многое.	0
107	им бандера снится каждую ночь	0
108	"а ты читать новости дальше заголовков не можешь?  ВАДА заявило, что проба не была помечена, как ""приоритетная"". Дело не в том, подписана она или нет.  То есть, все пробы обработали и загрузили в базу, а одна где-то болталась месяц.  А потом ещё и не была помечена как приоритетная (хотя с чего это именно она должна была быть помечена?), хотя должна была быть загружена вместе со всеми остальными пробами в срок. Там не важно, помечена или нет. Привезли в 20-дневный срок, все пробы загрузили в базу. Всё.  Сейчас уже пошло маняврирование."	0
109	+15, лахтапитта?@с??	1
110	Ммм, ещё два дотационных региона в родную бухту на плечи налогоплательщиков.	0
111	Интересно, а подобный перекос в сторону русскоязычной музыки/клипов в рамках этой рубрики делается сознательно?	0
112	не верите это не традиционные ценности.. это всё Обама делает по ночам и солдаты НАТО	0
113	там дочь, а не жена	0
114	Если Зеленский не выполнит минские соглашения, то Россия признает ЛДНР.	0
115	"работают они, формируют ""общественное мнение"""	0
116	как они выглядят?)	0
117	Niggalas	0
118	это говорит потомок заряжающих воду перед телевизором на ТВ-сеансах Чумака?	0
119	Надо же им как-то оправдать трату дофига миллионов на армию, что топчется на границе с Украиной.	0
120	Если русский напишет, что хочет отрезать голову депутату, через сколько его найдут???	0
121	извращенцев что ли ?	0
122	"Россия,а не твоя ""ряшка"",переживала и не такое..Знаешь мужик,мне 49 и,если честно-надоело жить,последние 32 года,в постоянном напряжении!Пожили норм,года с 08 по 14-й и все..То борька-ckoт пьяный,то Чечня,теракты,безработица,мотания за тысячи км от дома,что бы заработать копейку,потом,в 14-м,рухнувшая зарплата,сгоревшие накопления и т.д..Надоело это напряжение,хочется спокойной жизни,с адекватным руководством страны,хочется стабильности..Если тебе хочется обратного,то ты-малолетка-максималист и у тебя нет детей,за которых просто страшно!"	1
123	Более прямо написать что тётя желает устроить провокацию она не могла... У меня предложение реально пустить её, и при провокации закрыть на максимальный срок.. по крайне мере оскорбления суда она запланировала...	0
124	срать хотел ентот вирус на нашу вакцинацию ...	0
125	Это только по поводу разрешения дальше выступать. По поводу результатов командного выступления решение будет принято позже и отдельно.	0
126	Сыграл достойно? Есть басисты?	0
127	Наливкин в призидентом должен быть Я за него !!	0
128	Ну у нас статистика засекречена, может потом лет через 20 откроют. Но есть другие страны, где ведется, как с ними быть? В Казахстане после вакцинации от коронавируса российской вакциной «Спутник V» за 9 месяцев скончались больше 680 человек. Об этом заявил глава минздрава республики Алексей Цой	0
129	сейчас бы сравнивать вс рф начала 90ых и 2020ых?????	0
130	на допинге она может все забрать. Кто спорит?	0
131	Зачем алконавтам вообще права отдавать, пусть на великах гоняют??	0
132	почему долбёжку не исследованными до конца препаратами назвали вакцинацией, до сих пор не пойму! Но, Жириновский, наверное, более умный, чем я, семь раз вжарился, или, сколько там, я со счёта сбилась, как и он сам, теперь вечно живой будет...	0
133	достаточно посмотреть на твой идиотский ник и на тех, кто поставил тебе лайки, чтобы понять, что ты очередное путинское дерьмо из пригожинского подвала.	1
134	родня твоя зарыта тут ? никому не интересно ) боторылый )	1
135	В путинской России возможно только коллективное сумасшествие и отупение, а всё остальное у каждого своё!	0
136	в североамериканском сегменте правых сейчас модно называть демократов социалистами. В основном просто из-за обусловленной пандемией возросшей политики соц поддержки, ограничений и курса на зелёную экономику	0
137	Чеченцы нашли безотказный метод делового общения не только с простыми гражданами, но и с российскими чиновниками, так сказать. Это не с диванными экстремистами воевать, тут даже главный стыдливо отмалчивается.  Как говорится, зачем просить, если можно угрожать. Хохлы нам за это ответят, конечно.	1
138	что ты несёшь??????	0
139	Девочке разрешили покататься на льду, попрыгать и пораздвигать ножки перед публикой.	0
140	Еще недавно депутаты ЕдРа призывали резать головы. Как после этого относится к новым призывам?	0
141	это преступления официально осуждены руководством чечни и Российским государством и по ним заведены уголовные дела и ведётся расследования	0
142	так и пусть будет вариант с ненападением, нам-то какое дело до чужого имиджа. Ресурсы уже поставлены, деньги затрачены. Повезет, если украина как-то сможет от них откреститься, чтобы не расплачиваться *много* лет.	0
143	тупое стадо заблуждается. Нужны такие же умные люди, как мы с тобой, братан. Я очень хотел бы, чтоб Леголас был чёрным. Ты со мной, бро?	1
144	у меня начальница 20 декабря привилась пфайцером, а до этого модерной. И болеет сейчас.	0
145	сейчас еду домой от тян, гайд не понадобился	0
146	<новость об сша <прилетаешь сша	0
147	Так и  наши буржуи побегут, как только чуть народ зашевелится .	1
148	и то не вариант)) скажут, чтоб из дома удаленно работал дальше	0
149	id21206235|Ренат],	0
150	никогда не болей в январе, не совершай моих ошибок	0
151	я хочу жить по навязанным западом ценностям а не сраным совком и москвой	1
152	если ризнают , это пожалуй на руку Украине	0
153	смотри,уедешь на завод в кавказ и будешь там кукарекать	1
154	Да дайте ей уже эту медальку	0
155	??	0
156	"Огромный старый мост?!??  Ммм, почти как песня из ""Король и Шут"" - Проклятый старый дом..."	0
157	??	0
158	Санитары! Тут кремлебот сам с собой разговаривает!	1
159	по самую голову	0
160	уж не в Ооеше ли вы видеть мать-родную? ????????	0
161	"""Борцы за правду не читали оригинального произведения, они лишь прочитали про искажение цитаты из новостей"""	0
162	Почему СМИ США и Европы знают всё о нападении а наши либеральные СМИ ничего не знают!?....????	0
163	Ничтожное фиаско  ­По законам жанра детектива Раскрываем преступленье века Против вида, против человека, Факты искажают вкось и криво.  Кто же зачищает нашу Землю, Век назад сменив нам медицину, Чтоб вколоть сегодня нам вакцину, Просыпайся, род людской, и внемли.  Подлый и безжалостный народец Разбомбил практически всю Землю, Род людской, проснись и фактам внемли, Кто он, сей кровавый инородец…  Это было двести лет назад, И три года мы не знали солнца, Инеем покрылись все оконца, Поменялся в мире весь фасад.  Нежить погубила всю планету, С карты исчезали государства, Сгинули империи и царства, Геноцид остался без ответа.  Кто с тех пор занял места во власти, Исподволь меняя человека, С той поры прошло уже два века, Вновь вернулись беды и напасти.  Лишние мы на родной планете, Кто решил, нам это неизвестно, Процветает нелюдь повсеместно, Мир не будет радостен и светел.  Сократят вакциной поголовье, Как постыдно, нашими руками Заклеймят и сделают рабами. Вновь скрижали перепишут кровью.  Рьяно исполняются приказы, Холуёв у них уже в избытке, Плесень отбирали не под пыткой, Двести лет прислуживали ГЛАЗУ.  Развратили люд наш безвозвратно, БЕСпринципным проще управлять, Больше не пример… отец и мать, Но вернулось эхом многократно.  Платим по счетам за лень и трусость, Поголовно в займах и кредитах, Всё в руках отъявленных бандитов, Инструмент у них, известно, гнусность.  Сколько отвели нам изуверы, Сколько нам осталось жить на свете? Сами пред собой, позор, в ответе, Не имеет нелюдь здравой меры.  Не суди о мразях, человече, По своим критериям и взглядам, Ничего в них нету кроме яда, Есть надежда, что ещё не вечер…	1
164	жене не повезло...	0
165	не многие вспонят	0
166	Отечественный Китай спасёт положение))) типикал импортозамещение	0
167	А все потому что она заслужила это!И заслужила так,как никто другой!В таком то возрасте победить вау!	0
168	"Может эти все ""члены Форбс"" с обеих сторон в Лондоне меж собой и вовоюют?! Ахметов с Ротенбергом, Коломойский с Абрамовичем, итд!"	0
169	он про каклошвайнов и сeрливых набутылочных либерах	1
170	не то, что твой хозяин, на киче чалился при СССР еще	0
171	Медуза, у вас очень длинная ссылка на сайте в адресной строке. Невозможно её дать где-то для распространения. Учитесь у Би-Би-Си и других умных СМИ	0
172	на этого Делимханы рот не откроют. Плохо будет.	0
173	Конечно, Матвей. Сказать нечего, особенно человеку, который только сегодня тебе простынь текста написал. Мне лично тебе сказать нечего не потому что я ничего не знаю. А потому что разговаривать с быдлом это всё равно, что разговаривать с ослом или со стенкой. Смысла никакого нет. Руснявое быдло как обычно показало себя во всей красе.	1
174	хочешь купон на скидку в бургер кинг дам?	0
175	вот народ, что вообще не делает выводы? Вакцинация сейчас единственный метод защитить себя от ковидных обстоятельтсв!	0
176	Очередной протест в очередной тоталитарной помойке.	0
177	они же шавки без своего мнения. куда скажут. туда метнутся	1
178	впервые в России, по заявке обнуленыша!	1
179	эта по 150 р?	0
180	тогда чего не едешь в КНДР?	0
181	Эти гении геополитики,даже не смогли замечание сделать Кадыровской пехоте,за угрозы отрезать головы семье судьи.	0
182	после выполнения Будапештского Меморандума, говорю.	0
183	а я то думаю, чего подвидео столько этих фраз, типа намёки?	0
184	Как там Жирик, жив еще ?	0
185	истерят боты либерасты и их прихвостни кастрюлеголовые выродки, а я мысли излагаю	1
186	этот планшет на 99% Китайский	0
187	Хреново быть российским представителем ахахах	0
188	"ты почему не на работе ""программист""?"	0
189	а было 16	0
190	Как никто не знает? Да на российских иностранных агентах любой АНАЛитик знает все мысли и планы Путина??????	1
191	где ты видел у Валиевой допинг и какое это имеет отношение к олимпийским играм?	0
192	не забывай что это территория другого государства.	0
193	Самая большая проблема кремля это население ... как заставить его ненавидеть запад и США ...без регулярной пропагандисткой порнографиии ... последние исследования самых богатых слоев населения страны показали что 68 % из их по прежнему хранят все свои сбережения в долларах США .....т е они все ждут угара Путина ....	0
194	во что пи.дор?	1
195	он её уже добил?? Теперь надо воевать для отвлечения внимания.	0
196	Короче пропагандон очередной с однобокой позицией ))	1
197	"Да-да, западный мир уже лет как сто ""погибает"", продолжайте наблюдение??"	0
198	"Просто напомню, что совсем недавно Делимханов призвал отрезать головы родным экс-судьи Янгулбаева.. Так какие именно единоросы ""портят нам всё""? Те, которые не разрешают нелегально торговать, или те, которые призывают отрезать головы людям, и тем, кто переведут на русский язык их призывы отрезать головы людям???"	0
199	Быдлопрезик из питерской подворотни…	1
200	скорее просто передадут, но никакой церемонии, если Валиева будет на пьедестале не будет. Лучше что бы ее вообще не пустили дальше соревноваться в этой Олимпиаде, потому что высок шанс, что ее открыто засудят	0
201	не думаю, что они велики настолько, что перевешивают опасность от провокаций в небе.	0
202	что такое 15 р?	0
203	ну да не будет, будет ли россия делать киев-2 если какая то область внезапно объявит о независимости?	0
204	А что это изменит практически?	0
205	А почему поотдельности? Чем отличаются эти две т.н. республики?	0
206	про тебя же тупой холоп, че непонятно? )	1
207	Жаль девчонку, из за своей страны сгубит свою карьеру)	0
208	в Латвии пусть волнуется	0
209	"а почему ""гуманитарные"" грузы из России в непризнанные республики нельзя было останавливать для проверки в 2014-м? А куда подевались видео из Контакта с танком с российским флагом в ДНР того же года?"	0
210	аааа . Ты про своего  зеленского ?	0
211	как такая теория может существовать, если праздник пошел от священника, который тайком венчал традиционные пары?	0
212	там кпрф	0
213	Зло не может создать ничего нового, вот и нормальный сериал создать тоже не смогло.	0
214	Тихановская самый не авторитетный лидер и слушать её, себя не уважать. Ведь именно из-за её трусости сейчас в Белорусии такая беда.	0
215	так я и содержу страну, так что приму	0
216	Как заметил один комментатор под одним видосом из ютуба:  Niggalas	0
217	чем же тебя так мок поднакусал? наоборот. допускает лишнюю спортсменку, чтобы если в случае положительного решения по допингу и отбора медали, спортсменка следующая могла получить награду	0
218	Это он не прав.	0
219	Да она своими выступлениями всё доказывает. Ей нечего терпеть.	0
220	да уже поздновато он это заявил-из Украины активно выводятся денежные активы, ВВП этого региона устремился вниз, а ведь Минск придётся выполнять в любом случае, это неизбежность	0
221	Раз Крым вернулся то на очереди царские и Ленинские подарки в виде территорий .	0
222	все не так просто. Слово характеризует и человека, и ситуацию. В гробу - Россия.	0
223	хз	0
224	как то ты быстро отупел))	1
225	Очень хорошо рассказали про вакцину ютубер MyGap. Вот так и должны были рассказывать все врачи и политики изначально, а не ту хрень, которую изначально (защита от вируса на пожизненной основе и прочее). Итог: вакцину все стали считать фуфлом, и не доверяют ей по сей день.  И в придачу заставляли людей подписывать отказы от притензий в случае негативного влияния вакцины на организм (у меня брата жены заставили такое подписать)	0
226	окшк тмбчк крвть	0
227	все факты держаться на честном слове, если это называется проект - я умываю руки	0
228	только Владимир Владимирович, только Хардкор ?	0
229	это предлог для протестов против Трюдо	0
