	text	target
1893	[id172606563|Дмитрий], я предлагаю отказаться от рабства.  И рассказываю про свой пример, не предлагая всем последовать за мной.  У тебя явные проблемы с пониманием текста.  Даже без различных льгот и компенсаций, минимальный отпуск в нашей стране - 28 дней.  14 - это грубое нарушение закона.  И если человек работает в таких условиях, то я предлагаю ему задуматься.  Не более того.	0
2679	Жвачка для альтернативно одарённого стада.	1
1053	[id172606563|Дмитрий], Почему ты вопросом на вопрос отвечаешь? Украина подписала Минск 2 Путин отдал обратно Донбас Украине. Почему Украина не выполняет Минск 2 на чем настаивают и стороны подписавшие догово Франция и Германия по мимо России	0
1506	[id1887043|Николай], тупое стадо заблуждается. Нужны такие же умные люди, как мы с тобой, братан. Я очень хотел бы, чтоб Леголас был чёрным. Ты со мной, бро?	0
1348	Колбасу то можно купить точка открылась?	0
1057	[id496261696|Andrey], ну начнём с того что пыня не имел никаких прав забирать Dumbass. Как он мог его «отдать» то?	1
1630	[id693476967|Delta], жесто надристал по фактам	1
1589	[id85948775|Денис], не общество больное. Нормальное у нас общество. Больные варвары - это богачи и чиновники, которые расистские бредни распространяют. И они больные во всех странах, просто где то им народ научился пиздов давать, а где то ему ещё предстоит заново научиться.	0
1046	Интересно, к чему это приведет	0
784	[id499300358|Slava], куда туда?а зачем туда направлена украинская танковая армия?	0
1523	Ну да, зачем сделать какой нить поворот сюжетный о том, что Харадрим какой нить взял и перешёл на сторону добра, к примеру, произошла переоценка ценностей у мужика, они как раз негры, давайте лучше сделаем эльфа негром….как бесят	0
177	[id307054678|Виктор], а ты её заставь	0
2322	[id40295433|Сергей],	0
1172	"[id114773687|Александр], Я ж не пишу, что шикарно жили. Я пишу что ""лучше"" жили, чем после 14г. Вы же конкретно про ""лучше"" спрашивали."	0
364	Ну там в На Украине таких индивидуумов с особым взглядом пруд пруди . Вот ещё один персонаж из тех кто голосует за   таких вот Гуриных	0
2755	[id609119487|Владимир], я в восторге!Удачи тебе!	0
1155	[id172606563|Дмитрий], сделать все вытекающее ? Это переодеться в женскую одежду и бежать ?	0
799	[id640890552|Алексей],	0
14	"@БЕРЕМ ЛЮБОЕ РЕШЕНИЕ НУЖНОЕ ВЛАСТЯМ  @ПРОВОДИМ ЕГО ЧЕРЕЗ ""НЕЗАВИСМЫЙ"" СУД  @ДЕМОКРАТИЧНО РАЗГОНЯЕМ НЕДОВОЛЬНЫХ ДУБИНАМИ"	0
766	[id640890552|Алексей], базиба, я андестенд) просто лайки собираю ??	0
61	У этого товарища какие-то двинутные понятия о бытовухе, если он способен балончик в лицо на этой почве	0
2582	[id21715704|Марина], знает все это жирное чепушило! Просто, засраный Париж, и Нью Йорк, где, выбрасывают мусор на улицу, ему пригляднее!Это все гниет и пахнет!	1
1271	Пожелаем ему не терять головы	0
2784		0
1618	Изотова в очередной раз порвало, спешите видеть. главный страж повесточки и мракобесия в эрэфии снова выходит на связь.	0
66	[id144464343|Иван], ну, может у него забрало запотело.	0
534	Победит весна)	0
48	[id315252336|Владислав], странно, когда чм по футболу продали россии это не политизированная организация, когда мок что то делает это политизированная, по твоему чтобы она была не политизированной туда надо на 60% посадить еровцев? ну да забавно наблюдать, делают свое дело, расчитывали на противоположный? история с допингом не кончилась, cis пошел на встречу спортсмену и не стал ее отстранять, а то вдруг в лабе ошиблись а ее отстранили, отобрать потом легче, чем потом искать и перенаграждать. да да юристы из швейцарии вроде как говорилось, как ты там говорил, люди которые могут быть политизированы	0
2044	признание. а в каких границах вот мариуполь тоже голосовал в 14 году за ДНР. и что тогда путинская клика его отдаст киеву.	0
229	[id483002399|Максим], не пались, что не театрал.	0
706	[id137962692|Михаил], тебя никто ни о чем не спрашивал. Ты зачем сюда влез?	0
1533	[id351167933|Дмитрий], ты в Москве вроде живешь, почему тебя заботит кинопроизводство и отбор актеров в ДРУГОЙ СТРАНЕ? Не нравится зарубежное кино, смотри кино эРэФии - ты не имеешь отношение к западной культуре, ты не часть ее ЦА, так, потребитель от которого никакого кэша не падает.	0
875	[id496882193|Александр], вообще жопа для нас конечно	0
1269	[id6939261|Сергей], старушка 69-летняя, точнее. Он 69-летней бабуле газом в лицо прыснул.	0
2594		0
1167	Источник, как я понимаю, какой-нибудь Телеграм-канал???	0
312	[id483002399|Максим], да, сделал , наиболее удачно тебя драл алабай , а ты как считаешь ?	1
2533	Те, кто соглашается на позор, чтобы избежать войны, получают и позор, и войну. (Черчилль)	0
1497	[id162049882|Дмитрий], это называется флешмоб	0
2686	Жизнь куда интересней, чем это фуфло	1
2988	[id50002883|Сергей], ха-ха-ха! Самозванец Лука и Северная Корея поддерживают? ООН признало действия России оккупацией чужой территории, нарушением международного права. Так что не пори куйню, малец.	0
517	[id581416157|Olovyanny], он эпиваккороной прививался	0
380	[id75025304|Вася], щас бы заступаться за глиномесов	1
652	[id121445121|Денис], пока что гаагский суд курю, но скоро он закончится.(	0
2651	[id131887586|Антон], ты очень остроумный шахтер.  Разряда, думаю, не менее третьего.  Завтра мы тебя в Стахановцы выведем, паразит иностранный.	1
440	Потому что это не вакцина?	0
220	Так НА, или В ? ??	0
207	[id207989401|Alpine], Алё, америка туда как раз войска отправляет. Там находятся и американские и британские и прочие военные и инструкторы НАТО. А вот Россия держит войска на своей территории.  Там где считает нужным.  В том количестве которое считае нужными И так долго сколько посчитает нужным.	0
342	"Крыса, сбежавшая из пропагандосми и затесавшаяся в Едре Украинского пошиба, рассказывает как они не хотят войны, получая каждый день ""птички"" с наступательным оружием и как не хотят дестабилизации в Европе США (особенно сп2 ??)"	1
1411	"[id335900876|Мария], неужели вашу "" личность"" так легко подавить ? Или бухаете безбожно !?"	0
2308	[id136202178|Сергей], Зюганова узнает! Надо привезти!	0
596	Отличное решение, путь к независимости, давно нужно было это сделать	0
1366	В тексте пропустили в какой момент он перец распылил.	0
923	"[id156323359|Сергей], ""привет, Чита, привет Улан-Удэ"" ©"	0
2151	[id702791889|Сергей],	0
236	"[id43398959|Екатерина], браво ?? уверена, что преподаватель, посмевший однажды поставить вам ""хорошо"" прямо сейчас кусает свои локти ??"	0
2020	[id607580468|Andrew], правильно забирайте этих Сепаров себе . они и в России, что нибудь устоять.	0
1989	Вообще ЛНР и ДНР не просили независимости, они просили присоединить их к России как Крым	0
909	[id364267125|Анатолий], да и пользоваться этим оружием и техникой в кратчайшие сроки никто научить не успеет	0
1423	Я ОРВИ заболел. Идет в копилку?	0
2839	[id658179580|Сергей], они настолько велики, чтобы полностью кормить эту отрасль. 3-4 доллара за километр, если я всё верно помню.	0
86	Кто то у нее что то покупает?.. Из ящика стоящего на грязном асфальте...	0
71	[id1404410|Алексей], причем тут твоя нищебродская Москва? Вот тетка из сабжа делает нелегальный бизнес именно там. А по закону не могла бы заработать.	1
1130	[id16403076|Андрей], согласен ??	0
848	[id685614337|Диомед], никуда он не сбежит и останется в истории России величайшим правителем, на одном уровне с Петром первым и Екатериной великой, а вас всех пересажают?????	1
1640	[id71481683|Евгений], и в Канаде,и мексике. К слову матчи по футболу проходят и в англии.Пара матчей обязательно должна быть на выезде.	0
2234	Терпи красавица ?	0
119	Это только по поводу разрешения дальше выступать. По поводу результатов командного выступления решение будет принято позже и отдельно. То есть медали ещё лишить могут.	0
99	"В день святого Валентина Хипстер купит вазелина! ""То ли ты, а вдруг - тебя? Главное чтоб всё - любя!"""	0
2619	[id700960213|Аглая], иди в список своих собратьев! Igor Solin,Виктор Владимиров,Игорь Тарасюк,Логунов Сергей,Павел Никитин,Валодя Кот,Антон Тищенко,Andrew Tolbovsky,Иван Пономаренко,Иван Петров,Саффокл Зауральский,Егор Лазарев,Антон Заведеев,Дмитрий Лизунов,Андрей Борода,Сергей Мироненко,Васко Галеев,Евгений Щербаков,Иван Чеканов,Евгений Исаев,Владимир Войстроченко,Кира Русинова,Дмитрий Смирнов,Олег Шилов,Ii Всепростонечеголичного,Виталий Васильченко,Мария Иванова,Дмитрий Лебедев,Vfrc Vbhjyjd,Ваня Русский,Василь Суржик,Древний Укр,Андрей Соломин,Павел Никитин,Зигизмунд Плюшкин,Александр Волгов,Низа Крит,Владимир Кошка,Павел Савчук,Петро Лонгин,John Dow,Дмитрий Комаров,Марина Смирнова,Алёша Чичваркин,Виктор Гибор,Виктор Орлов,Дмитрий Архипов,Александр Ольховой,А-Ху-Ху Не-Хо-Хо,Дмитрий Кароль,Антон Заробелов,Аглая Собакина	0
2412	[id545149832|Татьяна], да	0
301	[id613406373|Kirill], сомневаюсь, что она в 15 лет специально употребляет допинг,скорее всего лекарство какое то	0
2197	ну а с кем ещё,канэшно ФСБ , ??,даже к гадалке не ходи ??  ФСБ не привыкать,правда вот отравить и трусы намазать новичком нормально не умеют,и отравляющие боевые вещества по пьяни где попало разбрасывают,но это мелочи ????????	0
2671	[id634558825|Александр], росийская экономика в полном порядке , все западные банки это признают . куда хуже дела обстоят в украинской экономики	0
1700		0
2061	для ватников и ботов	1
1972	[id400592347|Артур], рубль от бабушки с Украины. И сразу враг народа.	0
1040	[id172606563|Дмитрий],  1. кто тебе сказал такую дурь что я из ДНР? 2. скажу тебе по секрету в ЛНР/ДНР давно основная валюта - рубль.	0
1080	[id339758718|Антон], признание это не включение в состав	0
887	[id10444769|Саша], масло масляное какое-то получается	0
754	[id36551076|Сам], сейчас тебя этот Рембо запугает	0
2753	[id658179580|Сергей], да не нойте вы все!Я думаю,воевать с нами,если и найдется пара идиотов,то их будет ровно столько же,сколько у нас желающих воевать с украми...	0
2155		0
648	юмор на уровне кухни. он что с дружками в бане отдыхает. такое поведение не допустимо.	0
1558	[id22016829|Эдуард], ужос ??	0
2719	[id30899826|Игорь], ты про Хохлов?	1
2217	[id5018141|Ярослав], выродки постоянно начинают ныть, некоторые за деньги, некоторым мозги промыли	1
2171	Леди Демократия ниспровергает Колхозника!!!	0
2275	[id225372019|Ev], наших - это наших! Ваших никто не трогает.	0
1689	[id499300358|Slava], а что Жириновский?	0
1479	"""Борцы за правду не читали оригинального произведения, они лишь прочитали про искажение цитаты из новостей"""	0
107	[id613406373|Kirill], у меня сомнения есть во всем, что касается подобных контор, которым кто больше денег занесет, у того анализы и чистые. Ну или наоборот	0
1569	[id114765583|Михаил], русский гетеросексуализм под угрозой. Сначала другие черные из кремля уничтожили русский национализм, теперь пришли за скрепами. Дальше что?	0
105	[id613406373|Kirill], а вы уверены, что допинг был?	0
1002	А еще несуразнее фото можно было выложить???	0
521	"Forbes: ""Миллиардер Виктор Харитонин делает ставку на партнерство с государством. Производство вакцины от коронавируса «Спутник V» позволит его фармацевтическим предприятиям увеличить в 2021 году выручку по крайней мере в полтора раза, а развитие сети онкологических клиник — получить региональные бюджеты ОМС.  В 2021 году Харитонин стал крупнейшим производителем вакцины от коронавируса «Спутник V», а его онкологические клиники открываются по всей России — от Курска на западе до Кемерово на востоке. «Харитонин показал совершенно фантастические возможности великолепной фабрики, конвейера, удешевляющего лечение и производящего прибыль», — говорит Forbes создатель ОАО «Медицина» Григорий Ройтберг.""  https://www.forbes.ru/biznes/449387-panacea-haritonina-kak-ustroen-biznes-krupnejsego-proizvoditela-sputnik-v"	0
1616	"[id160400847|Константин], В последнее время слово ""расист"" звучит как комплимент)"	0
405	[id14184036|Виталий], а вера в какого бога ценна? Почему не конкретизируют?	0
376	Не испытываю по этому поводу каких либо неудобств	0
550	[id51897986|Vyacheslav], кто есть? Независимые частные компании, которые зарабатывают деньги новыми технологиями и качеством? В России нет ничего подобного. Есть госкомпании, которые финансируются государством без конкуренции и стремлений к новому .. просто делают рабочие места с посредственными зарплатами, низкой мотивацией и отсталыми взглядами на современый мир .. внутренний рынок он недостаточен для современого развития и конкурентоспособности ...	0
506	[id14745887|Максим], Тебя только в курсе и держать. Тихий час в садике не пропусти и кашку всю слушай обязательно.	1
2987	[id569409622|Уинстон], сын шлюxи, пошёл нaxyй.)	1
2413	[id692715088|Кирилл], то есть люди общаться не имеют права, дебилы вроде вам видят в этом  что то неправильное?	1
2770	[id620419423|Эдуард], ну вот. Оснований для паники нет.	0
0	Григорий Спел)))	0
908	[id364267125|Анатолий], доооо....жовелин уберваффе ?? Нах вообще вся остальная армия? Оставить только бойцов с жавелинами, они Москву возьмут??	0
1826	[id127699256|Евгений], да	0
2800	[id459745564|Иван], бот, давно ты с этого аккаунта не заходил	1
311	[id3161208|Андрей], как дела с кобельками, зоофил? Ты сделала выбор? Кто тебе больше понравился - алабай или дог?????	1
1408	очередное закручивание гаек, всё для подавления личности	0
2319	[id704299748|Альберт], по своей супруге судите?	0
2272	Как Путин допустил что наших спортсменов стали считать грязью?	0
1069	[id5018141|Ярослав], кто тебе сказал что нельзя было? ОБСЕ их проверяли вдоль и поперёк	0
2845	[id606524|Павел], я не понял, чему ты рад и чего боишься? Шифруешься очень или грамотенки недостаёт?	0
2525	[id461498232|Андрей], украинские сми, в своих фантазиях!Может, у шута, что взяли, на понюхать!	0
2433	[id14404398|Виктор], 15 ку тебе дадут молодец	0
2911	"[id634558825|Александр], судя по всему, таким ""аналитикам"" как Сатурн  уКиевсский приедет ФСБ да-да cyчеH0k нацистский, придет"	1
1644	Как американский футбол может быть футболом, если там почти нет взаимодействий ноги и мяча?)	0
80	Денег отбашляет бабуле на новый павильон и извиниться за случайное как он говорит распыления бооончика ,(можно подумать что он стал нападения бабули и защищался и вообще не причем ,)че за депутаты такие пошли ,один голову отрезать грозиться другой бабок балоном заливает	0
2065	Опа! Опа! Америка-Европа! Азия-Евразия, что за безобразие!	0
1549	Legend finishes by this fall *	0
2736	[id138280294|Антон], Вы никому не нужны, чтобы вас слушать??	0
210	Я чет не понимаю. Какой бл*ть смысл нападать РФ на Украину когда об этом говорят уже из каждого угюга? Тогда, в 2014 настолько сильно не говорили о вторжении РФ. Но сейчас об этом даже Байден заявил.	0
1201	Ждем обращения тов. Молотова к советскому народу от 17 сентября 1939г.	0
1050	[id76674976|Максим], Если Украина не выполняет Минск 2 что делать?	0
627	[id40275211|Денис], бот	0
620	[id260224483|Nik], по-моему, российский абрвалг в тему поста ...	0
1763	[id5025046|Михаил], она приняла допинг, как доказанный факт и требует расправы...	0
1798	[id172294571|Елена], Как похорошели США при ГМО, и никакого допинга.	0
927	[id100193333|Art?rs], а ты научился только открывать рот и сразу же в чс кидать, дружочек?	0
723	[id931576|Павел], так-то да. Видимо просто диссонанс словил от такого зала на 100 человек и когда 15-20 лет назад ходил на них в Лужники и пр.	0
1668	Аналог гладиаторских боёв для дегенератов, а в перерывах реклама от корпораций, зарабатывающих на продаже этим дегенератам своей говнопродукции. Новости киберпанка.	1
2114	[id685229480|Владимир], гнусный выродок, перестань путать реальность с вымыслом	1
137	Она уже из Европы. приехала?	0
1277	[id13470900|Евгений], это больше на самоубийство походит чем на преступление))	0
1252	[id163706673|Роман], а потом Проблёвкин????	0
1266	[id135374284|Александр], ну это не говорит о ее неаадекватности, она никого не пинала и не брызгала перцовым балончиком	0
1223	[id13834433|Ренат], снимешь пожалуйсто на камеру свой танец?	0
1428	"[id2139173|Алексей], людей с шизофреническими наклонностями сейчас очень много, поэтому так легко запустился ""проект Ковид"""	0
520	[id653228736|Александр], если наши власти реально радеют за здоровье граждан, почему не легализуют применять все иностранные вакцины? экон конкуренция выше по значимости чем здоровье?	0
2372	Перебьется недотравоенная	0
746	".... ""Советник Байдена: мы не можем предсказать точную дату вторжения России на Украину""????"	0
2566	Лень, на твои ценности, всем насрать!Можешь жопу зеленными бумашками вытирать!Примерно такая, их стоимость, как туалетная бумага!	1
1504	[id1887043|Николай], что с айкью?	0
1516	[id478293002|Кирилл], здравый смысл это борьба с расизмом. А расизм это безумие.	0
2947	Какие же они тупые, оказывается чтобы развиваться нормально  нужно обязательно нужно получить п-ды сначала, сами не можем.	0
1794	Допинг это плохо и нечестно! Осуждаю	0
2728	[id197393836|Иван], чё та несёшь дурачок?	1
2713	[id233564382|Николай],	0
943	[id155849408|Олег], где я писал что по 150Р?	0
1129	[id76649384|Максим], и кавказ пусть тоже забирают	0
1874	[id688762712|Murat], ну так с 2005 года он переставал быть президентом, так что первое слово съела корова и вообще кто как обзывается, тот сам так называется	0
516	Да я по жирику вижу, какая она сверхэффективная.	0
1741	[id306186388|Имай], шо, короля цитируем? Пять	0
1102	Ахахах. А куда 8 лет болтовни о признании особого статуса регионов?	0
2945	Да гнездец вашему пианисту??и прочей бандеровской cвoлoчи конец наступает??щаз завизжат.	1
1127	Та отдайте хохлам этот Донбасс, ну Крым оставить ладно, хотя мне то че с него ??	1
428	Китай вообще не почесался от того, что виноват в эпидемии. Кишка-то тонка слишком на Китай наезжать у других	0
159	[id228286344|Денис], согласен , звучит !	0
1253	[id216178069|Саша], а потом Головаболёвкин	0
2786	"[id43716952|Тёма], тупой кремлебот, оружие нужно не только как устрашающий фактор, оружие еще применяется по прямому назначению... Не завидую танкистам, кому выпадет ""встреча"" с «Джавелинами» и «Байрактарами»"	1
673	как вы все понимаете, это другое, и всех протестунов нужно посадить, тут понимать надо	1
2937	[id713674944|Ivan], ты и твоя мать Wлюха.	1
