id	doc	target
5467	"У нас 90 процентов депутатов с двумя а то тремя гражданствами и похер всем, работают на благо страны
"	0
5313	"Ещё в студенческие годы во время учебы на кафедре кожных болезней, увидев мой герпес на губе, аспирантка посоветовала схему приема Декариса. Впоследствии около двух лет высыпаний не было. В прошлом году на фоне появившихся высыпаний вновь вспомнил о препарате и принимал его. Вот около года все в порядке. Сам врач, но не дерматолог.
"	0
6602	"я не ебаная русня Ну, либо ты пиздишь в том, что по открытому пиздабольству детектятся именно русские, либо ты пиздишь про то, что ты не руссачок. В любом случае, ты обоссаный пиздобол, не могущий в дискуссию и аргументы.
"	1
8042	е....анутые...	1
1032	ну негры же бывают белые)	0
6895	все операции с недвижимостью работа со всеми видами сертификатов опытные брокеры ипотечные оформят ипотеку на выгодных bас для условиях сложные случаи	0
5829	"Ну он по делу говорит, что такого? хохлоайтишник с ФОП
"	1
2838	а зачем эти медали? Стоят они стольких нервов? Побрякушки, ведь, в конечном счете. В конце-концов выиграть, а медали им на стол положить, пусть отдадут бедным	0
5419	Не, тот время останавливал, а этот в предобморочном за сердце держался и блевать бегал.	0
4357	ну тут пиздос полный.акробаты даже рядом не валялись!!! котейка реально оторвался от земли(правда задними лапами)но кто так ещё сможет?	1
6272	"В такой ситуации виноваты пидарасы из Ростелекома у которых даже кошка может купить фильм с пульта. Дебилы блять.
"	1
2653	"как мне потенциальный заказчик написала: ""Пирун"""	0
7242	и не толстеют	0
610	США с удовольствием отдаст пешку Украину, чтобы ввести санкции против России и поссорить нас с Европой.	0
1029	Илон Маск резонно заметил, что СМИ кем-то зачем-то превращены в информационный говномет Почему «традиционные» СМИ это такой безжалостный поток ненависти? Реальный вопрос. Большинство новостных агентств пытаются ответить на вопрос: «Что самое худшее происходит сегодня на Земле?» Это большая планета! Очевидно, что где-то в любой момент времени происходят какие-то плохие вещи, но постоянное сосредоточение на них не дает точной картины реальности.(Илон Маск, 8 февраля 2022)	0
3661	. Дуров долбаеб потому что,нововведения херачит (	1
4909	"Уже не прокатывает. Теперь такое действует только при оплате сразу онлайн ( а как блин ту же обувь выкупить сразу без примерки?
"	0
3733	не хер ходить на концерты этих всех мразей	1
3436	какая сволочь его после этого на работу возьмет	1
2670	держи 15 рублей за интернет-проституцию	1
6421	"Русня рождена сосать.
"	1
1745	кормовая база сокращается	0
831	потому что не первый год народ сериал этот смотрит Уже представляют, как думают сценаристы))	0
303	справедливость будет тогда, когда будет независимое расследование майдана, mh17, Навального . До этих событий ты находишься в статусе лживого лицемерного пропагандона, продвигающего чужие ангажированные интересы.	1
6601	"Насколько помню юниор это д-5 засунутый в чехол от т-4 и укладываемый на веревку. Ну и я отношусь к той секте что считает дубом только д1-5)
"	1
3065	донбасу пидарасу нету славы и не будет	1
8261	да блядь философ ! осёл !!!	1
7550	коты боятся воду, а если нпт, значит, они умеют плавать. и это правда. у меня сибирская. она любит воду. думала постоять там в ней, наливаоа немного в ванну. один раз забыла, а она плавает еак попловок. и шерсть не промокла. еливытащила. сначпл воду пришлось слить. от масти зависит	0
8082	своего ребенка курвой зови можешь похлеще.чужую не имеешь права.на хрен ей твоя украина	1
8487	когда этот пиздабол старый покинет кресло, как он уже настоебал. вцепился в это корыто позорник!	1
3597	ХОХОЛ, ПОКАЙСЯ ПЕРЕД ВЯЧЕСЛАВОМ ВИКТОРОВИЧЕМ ЗА КРЫМ, ПОКА НЕ ПОЗДНО	1
7042	небо забирает лучших.царство небесное.	0
3857	Сука на мне что проклятие? как только влюбляюсь постоянно ошыбаюсь((((	1
3274	долбаёбам так и надо. башкой надо было думать куда заезжаешь...	1
1954	сейчас бы сравнивать вс рф начала 90ых и 2020ых?????	0
1129	Ваня Смирнов, ты опять женщиной стал? Я так и не пойму, ты он или она? ИЛИ ОНО???????????????????????????????	0
4739	"Ещё в бы баги убрали как можно быстрее, в том числе и множество визуальных)
"	0
3177	не поверишь, сколько ебанутых на планете	1
6836	у меня тоже давно отцвели просто наверно молодой	0
1453	Потому что если не брать больняки. Денежки которые отправляются в фонд. Просто пропадут ????	0
2052	И первой была... Дай, угадать!~ Терешкова?!	0
1791	Совесть	0
3500	народ вы посмотрите что власть скотская делает. опять помощь всем только не своим. твари...	1
2156	Не триггерите моего внутреннего говнаря	0
7249	круто.тоже такой сделаю!!!🤗	0
2746	родня твоя зарыта тут ? никому не интересно ) боторылый )	1
7620	я сталкивалась и сразу клала трубку	0
3372	да иди ты в ЖОПУ блин(Барабанщик в моей группе говно	1
5992	"Если ты такой умный, пидоран, то почему ты такой бедный?
"	1
4974	Так может быть вы не можете их привести потому что их банально нет? И у вас просто пригорает от упоминания Ленина в подобном контексте?	0
6909	да , помню. моя любимая, строгая и справедливая фокина татьяна геннадьевна. давно это было- мой 1 класс, но только потому, что она была такая замечательная, я тоже стала учителем .	0
2277	Путина в отставку! ???	0
166	"""Борцы за правду не читали оригинального произведения, они лишь прочитали про искажение цитаты из новостей"""	0
3778	СКА СКОЛЬКО ЖЕ АГРЕССИИ В МОИХ ПОСЛЕДНИХ ТВИТАХ:(	1
7632	спокойной нои ез эв аотовятся на спать иев свои ваур вай пора слазки атобы слотреть сны иракрасныз которыз свайа састь иолны в	0
4116	я там через день бываю толстомордый пидарок......	1
2842	теперь сказано.	0
7232	просто великий актёр. 👏👍	0
948	Вакцина, может, и хорошая. Но все в Европе понимают, что как только ВОЗ ее одобрит, в нее поедут толпами люди из России. А сертификаты не у всех настоящие))) возможно, проблема не в самом Спутнике, а в недоверии Европы к обязательности исполнения закона в России.	0
8570	у нас галкин упал убился( я имею ввиду влада не пидора максима) убился ильин да у нас все сами поубивались. дочку и ебаря крутить надо не иначе любовники захотели нагреться на мамкином состоянии	1
3903	когда же их расстреляют тварей?	1
1477	Аххахаххахх)))) Е*ать ?????? Ну это бунт	0
2964	хули пялишь зенки брызь под нары	1
857	Да она своими выступлениями всё доказывает. Ей нечего терпеть.	0
3390	трахаюсь в попу, сосу член, у женщин вылизываю сперму с тела, влагалище, анал, принимаю золотой дождь, вылизываю месячные	1
5712	"тебя не убедил 6-страничный пдф в том, что Скрипалей отравила Россия? Анализировать и думать пытаешься? Ватник что ли?)
"	1
1212	"Нет там в тексте такой лабуды. Просто ""с представителями республик""."	0
7213	цена и в рассрочку на скока	0
6485	"Западенские каклы в Польше - это чмо пиздец какое просто. Сам лично одному там в автобусе втащил. Его блядь приняв меня за поланда начала обкладывать русским матом за то что я их согнал в автобусе с первых мест за которые заплатил, типа я нихуя не понимаю. Сами поляки при этом в кайф стояли и смотрели как русачек щемит какла.
"	1
58	Наши истинные патриоты и герои по-другому поступят, продадут всю недвижку  в странах НАТО на вырученные деньги построят буки или что там у нас гиперзвуковое  есть... своих сыновей вернут на родину и поставят под ружьё защищать РОДИНУ!!!	0
7263	пикули,паштет,пармезан,портвейн и пончики 😜	0
5459	"Мои возможности в блендер сводятся до музыкальных клипов Death grips из альбома Government plates
"	0
7873	конченый еблан!!!	1
4983	"Кушай цветную капусту... И полезно и 0 калорий и живот заполняет самое то
"	0
4844	"У нас второй и далее. А со срочника вообще нечего взять. Первый раз простят, второй поругают и на третий прыжок не выпустят просто.
"	0
8311	ты, по себе-то не гони, пидарок. если усы не сбрил, значит ты ещё в добавок и хуй сосёшь.	1
1118	id3393737|Сергей],	0
115	Те, кто соглашается на позор, чтобы избежать войны, получают и позор, и войну. (Черчилль)	0
593	всему миру похер на тебя. И зенит - чемпион, да.	1
5276	"В Тюмени большинство светофоров с пешеходной фазой, поэтому пешеходы ходят в том числе и по диагонали через весь перекресток! тут говорят:
"	0
1301	Требовать будешь у американсов  кто проплачивал  ваши тусовки .....??	0
3955	пиздун!а что, ты сделал для своей страны!	1
2633	ты что, хочешь быть финансово грамотным, успешным и с достатком? Фу, как тебе не стыдно. Без скреп	0
1179	Начнётся в том случае, если США  устроят провокацию, им это не в первой.	0
6670	"пук пук пук пук МАЛОЛЕТНИЙ ДЕБИЛ НАСРАЛЬНЕНОК ОПЯТЬ НАВАЛИЛ ГАВНА В КАМЕНТАХ
"	1
2118	Да по всей стране ЖКХ  повышает счета за отопление.	0
7107	ну,он сильно испугался штрафу в 1000 рублей....	0
7940	а я бы всех охотников и браконьеров на кол посадила б,моя бы воля(sr)﻿	1
1598	Скоро введут чеченский налог. 10% от дохода идёт в казну Чечни.	0
3494	Пиздец ,чуть кота не убили ,пиздец ......бедный ганник ;((;(	1
6058	"Это там блевотина на потолке, да?
"	1
5044	"Книги нет, только комиксы и сюжеты для игр, но ближайший релиз только к 2020 году.
"	0
3217	И даже у этих говнососов - чистые гладкие лица и нет торчащих скул.	1
4362	зараза,всё таки наверное убила его.	1
7067	у меня также регистрация черным	0
8093	идиоты... пиндосовские, россию с колен поднял, а вы обратно хотите....за плинтус?	1
1344	Соболезнования.. Нам будет его не хватать... Ужас! Как жить-то теперь!	0
1776	Женщину только жалко во всей ситуации.	0
5440	"Простой расчёт. Дальше строить карьеру в кольце, где на вершине Ф1 или более приземленнуюю профессию, так как есть хочется. И смотрит она, сколько пилотесс есть в Ф1 и в условной бухгалтерии.
"	0
3581	солнышко лохов разводит,а лохи сами лезут,ананисты ебаные🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣	1
6287	"по вам будут всю нацию судить. Это удел дегенератов. Сам себя научился вести, русиш швайн?
"	1
7041	спасибо, ошиблись😅	0
7585	ну до максим опять в лужу сел.	0
4661	где ты тут армянина увидела тварь!	1
2744	Зеленский выполни минские соглашения, спаси Украину!	0
6074	"так они пытались отделится, где вы были когда русские решили не отпускать их и отправить на смерть молодых ненцев, башкир, чукч и тд коренной народ России?
"	1
2486	но их сборные не отстранены. так ? так. значит у них нет проблем с допингом	0
3108	аааааааааааааааа я теперь задрот:(	1
3200	ни хуя себе чучело, а где главный?????	1
8146	сука ментовская	1
7397	год ошибся ,75 , почему - то одни пацаны на фото	0
4288	ну,если на тебя напала какая то ебнутая,это не значит,что все они дерьмо((((	1
3507	ТО ЧУВСТВО КОГДА ИЗ ЗА СВОЕГО ТУПОГО ИНТЕРНЕТА ХУЙ ЧТО ПОСМОТРИШЬ ВООБЩЕ(	1
2324	Кремлеботы вакцинироваться не хотят уже, поэтому войнушку мутят	1
6271	"Встретил бы я тебя на улице, ох и поплакал бы ты горькими слезами.
"	1
2122	Хахахах) даже депутаты прячутся от законных террористов.  Великая страна)	0
4772	"Ну какие времена, такие и нравы) сейчас одной мороженкой и прогулкой Не отделаешься) надо выдумывать что-то поинтереснее. Я и сам помню времена, когда достаточно было просто пару раз погулять и уже начинались отношения) славное было время
"	0
3868	сразу видно шлюхи незнающие жизни!	1
4978	"Кстати, такой пылесос ракета, который умел выдувать воздух, обрёл в нашем поселке большую ценность после того, как дед воткнул металлическую трубу пылесоса в дымоход, под углом в сторону выхода дымаря. Включая пылесос на этапе розжига печи, отпал вопрос обратной тяги. Значительно дешевле любого жаростойкого вентилятора.
"	0
5020	"Пффф. Тут у строителей вообще карты крапленые. Году так в 2014 построили неподалеку от меня дом, стали подключать коммуникации, а документы-то фальшивые, а значит постройка незаконная. Фирма поспешно обанкротилась. Пришлось задним числом оформлять разрешение. Но дольщикам нервы помотали от души. Был ли кто-то наказан? Я вас умоляю! Но это ещё ладно. В Тольятти есть 2 дома, построенных так, чтобы во двор можно было проходить. Одна ушлая фирма решила проход застроить. И застроила. Начали людей вселять, а дом трескаться пошел. Пошли жалобы в Госстройнадзор. Госстройнадзор пришел и выяснил, что разрешения на подобную застройку нет. Приказал снести самострой. Жильцы взвыли! Но это были цветочки. Поскольку фирма поспешно обанкротилась и исчезла, расходы по снесению неразрешенной части дома были возложены... на самих неудачливых дольщиков! Как тебе такое, Илон Маск! И это не единичный случай. Пруфик: Что интересно, соответствующие органы в упор не видят самостроя ровно до тех пор, пока с ним не начинаются проблемы. А строительная фирма блеет, что разрешение хотели получить потом, по факту. Кстати, желающим узнать, что и как - дом этот стоит до сих пор.
"	0
304	??	0
7123	где живут такие золотые руки и почем продаётся красота?	0
5904	"Они нужны,в полицию позвонить, когда гопники мобилу отжали.
"	1
1804	так не будь глиномесом	1
7610	счастья тебе от души желаю.	0
4889	"На самом деле идея имеет смысл, но не за 600 руб. У меня вот 4 стула и диван на кухне, 7-8 человек влезет, хотя стол может около 10 человек вместить. Как раз 2-3 стула не помешали бы, но хранить их в квартире особо не где. Не то чтобы места нет, но они просто болтаться не в тему будут и говно на себе собирать.
"	0
3273	о неееет, мой Шеепс! Сволочь!=(	1
7601	я, согласна вернуть смертную казнь.	0
7207	блин ну че за хрень то опять за этим защитником стольни охота ну когда же дриада будет	0
4836	"Пока многие ищут супер-пупер светодиодные лампы, у меня в ванной обычная энергосберегающая уже 9 лет работает. Интересно, кто сэкономил больше?)
"	0
6565	"Говорят что обиженных в жопу долбят, но это не точно
"	1
6597	"Прошлые треды можно найти в гугле ЧЕТВЕРГ РЫБНЫЙ ДЕНЬ ПРИШ Л В СТОЛОВУЮ ПУСТЫЕ ПРИЛАВКИ
"	1
4269	Это ж надо было столько сожрать :(.Фу,как свинья я	1
4208	СКОРО НОВЫЙ ГОД,  А НАСТРОЕНИЕ УЖАСНОЕ.  :(	1
7648	издевательство! этим тапком по бестолковке!	0
5610	"от врачебной ошибки компенсация должна выделяться из бюджета, который содержит мед.учреждение или страховая. я не силён в таких тонкостях, поэтому задал вопрос, а не просто наорал: почему не платят! прошу понять меня правильно.
"	0
4130	Пиздец год тренировок просто так в круг упал это просто пиздец(	1
3642	только дебил может так назвать своего ребёнка. 😜	1
6257	"А как же геноцид белой расы, задуманный жидами в качестве мести за холокост?
"	1
6919	сколько же праздников вы украсили и подарили им такое мгновение, как собраться с друзьями и родными за одним столом! мастеру браво!	0
343	15-рублёвые скрепы	0
6761	сильный ангел-хранитель у этого парня,дай бог ему здоровья и спортивных успехов.	0
3576	уберите эту мразь вообще с ленты.	1
4197	смотри,ща ещё обосрут тебя :-(((((((((((((((	1
6711	у меня все подарки открыты	0
2416	это нарушение Минска	0
6000	"щя б в 2019,опосля всех охуенных реформ в здравоохранении пиздеть что врачей никто не любит,тетка и брат двоюродный там работали,ушли слава богу,да там все нормальные ушли,хз кто там остался,или те кому идти некуда или полный шлак,либо молодежь которая там не задерживается
"	1
7157	у меня сегодня большой праздник....30 лет моему любимому сыну !!!	0
6116	"вот каждый раз на пикабу найдется зануда, под последним комментом в ветке, который не умеет в сарказм и он запросит пруфы у такого же Билли, как я
"	1
6704	вот детям радость	0
2808	смотря где работаешь.  Уменя на заводе уйдя на больничный я получаю полный оклад.	0
5820	"Модератор срочно потри пост, против травли женщины, если ты ещё человек!
"	1
4349	Все кости ломит, мест блядь не хватило, спали в троем на малюсеньком диване!(	1
8299	мать твоя в рот ебанная .если я хохлозадый то кто ты пидарас косорылый ?;) ;) ;)	1
7619	в год двоих ражала	0
1099	как они выглядят?)	0
4109	Кто там так много базарит,уши горят пизда(	1
1891	зачем писать в банку если можно писать на листочке??? я не понял, жду бригаду??	0
7187	что за игра такая??? :) может вечером буду играть, весь день на работе (tr) расскажи	0
3022	Блять! Нам уже Пешеходовы забивают:(	1
1167	какой я тебе бандера. я саша ))	0
2745	"Насмешила, Навальный ""честный"" человек.??"	0
3472	я в курсе, даже пиндосы не остановили внезапную смерть, хотя сама гордеева мне глубоко симпатична - ибо наша	1
2989	что за идиоты выкладывают это говно.	1
2763	ну это уже совсем другая новость получается...	0
417	какое развитие в условиях, когда закупка идёт по указке сверху? Развитие бывает только при конкуренции, а тут сделали хрень и дальше стараться смысла нет, всё равно купят из-за запрета приобретать то, что лучше.	1
6324	"Это воспитываеь нужно со щенка!!! Себе такое наденьте!
"	1
600	Обе гангрены друг друга стоят. И я не торговку имею в виду.	0
4648	ОххххНаверное пора спатьИначе завтра историю просплюВсе бы ничего, но мне потом пизды вставят:(	1
2125	ты написал этот коммент со своего телефона в эту соцсеть благодаря США. Удались и иди подковы куй, будет тебе добро)	0
877	id131887586|Антон],	0
4332	ебать копать!!насмешила сука!!!пока мы живем,,ты,тварь,живешь лучше нас!!!	1
3573	да это неделя просто пизда не в чем не везет ((	1
6763	ну .что добились демократии ,теперь даже песни боитесь петь?? ну если они с гранитными памятниками борются ,то с артистами тут вообще плевое дело ,тем более с женщинами)) россияне мотайте на ус это и вас ждет ,если вы уберете путина .	0
4049	пидары бъют по живому , а делать суки , что будут	1
3493	по блату поступили , по блату закончили по блату устроились и управляют тупари ...	1
4386	их не увольнять надо а ебать всех до потери пульса	1
7279	а про социальную дистанцию это вообще абсурд.социальная дистанция может быть между директором и вахтером,между начальником и слесарем...кто и какой умник это так обозвал ?..санитарная и эпидемиологическая - это что -то ближе...	0
2546	думаю, он имел в виду чиновников)	0
3877	ЧЕ Ж ВАМ БЛЯТЬ НЕ СИДИТСЯ,ФОТАЛИСЬ БЫ ЛУЧШЕ.У МЕНЯ В ИНСТЕ БРАТ И ТЕТЯ.Я ВАМ ОТОМЩУ,УБЛЮДКИ:(	1
8219	стрелять без суда и следствия,приговор сам себе определил подонок!!!	1
1867	Когда не сдал кал и не просидел две недели на карантине	0
8470	пиздец полнейший😨	1
4339	это пиздец, в стране ни хера не производят кроме продажи ресурсов, конченые идиоты, клептократы и коллаборационисты.	1
2308	нам нет, а вот Путину - хз. Он уже 20+ лет не спускался на землю, его хотелки за это время кардинально разошлись с хотелками остальной страны.	0
6699	точно-точно, это ещё вопрос куму тут 	0
1083	ой, спасибо, пропуск просто в новый год потеряла.. ?? Удачи в новом году!	0
5597	"У тебя еще есть время
"	0
3066	читай,блять нахуй	1
5740	Вангую у этого обсоса и так по 2-3 аккаунта на каждую соцпомойку. Поэтому он тут еще лечит анонов, как им сидеть на анонимных бордах. то просто не пиши мне а ты меня заставь, чепушило, тебе тут не писать, кек. Жидко обделаешься с первой же попытки.	1
4966	"Что-то ИМХО непонятная идея комикса. Если там речь идёт о сравнении растущего количества машин с опухолью - ну так прикиньте расстояния и время, за которое мы их проезжаем. 21 век - это тотальная глобализация, а один из постулатов её - быстрое передвижение (например из-за расширенных дорог у меня возможность пройти расстояние от Подмосковья до Краснодара за 15 часов). Если мы говорим о городских пробках - вот что-то с моей питерской колокольни мне совсем не видно расширения дорог в историческом центре. Мало того, если бы у меня была возможность убрать с улиц Питера какой-либо транспорт, это были бы не личные автомобили, а трамваи. Ибо в Питере они либо собирают за собой пробку (ибо едут 20км ч и постоянно останавливаются), либо из-за трамвайной выделенки теряется добрых 30 метров ширины - смотрите фотку. Проблема городских пробок лежит в парковке, которой в центре зачастую нет. Ну а если речь идёт о том, что надо отнять и поделить - Шариковы немного в другом теге...
"	0
4750	"Ну что в РВСН и ВКО (второе с 2 августа 2015 в составе ВВС) срочник ничем полезным не занят это верно. А вот на счет: к технике не пускают,- момент всё же спорный. Скажем так кроме обслуживания, которое контрабасы спихивают на тех же срочников, контрабасам также ничего не доверяют, если нужен ремонт (техника относительно новая была), то просто приезжали спецы с завода-производителя, настройка аппаратуры опять же офицеры и сотрудники завода. В нашем Дэзе даже на БД с контрабасов допуск сняли и поставили толковых срочников на их место
"	0
1965	id675792975|Ii],	0
3703	троица уёбков и тварей !	1
4793	"А в 1960-м рубль был дороже доллара, а интернет вообще ничего не стоил.
"	0
1236	вопрос был адресован не тебе. Ты влез.	0
7322	так их много моих висит типа:d не пиши ерунду бондаренко	0
2587	В комментах поголовно эксперды-медики, как обычно??	0
4756	"Нифига подобного, эрекция всегда одной длинны, не бывает полуэрекции.
"	0
5755	"Ты троллишь? Если ты такой правильный - плати мне репарации. Точно репарации, а не материнский капитал, ссуду или стипендию? Просто репарация - это по факту штраф за проёбанную войну от одно государства другому. Да и по международному праву, официальный приемник СССР - Российская Федерация. Так что, как переедешь на Аляску, можешь смело писать заявление в международный суд на РФ, чтобы тебе вернули 3 прадедовы коровы. Документы, подтверждающие собственность-то, остались?
"	1
551	В Турции заявили, что вторжения в Украину не будет: разведка получила данные из РФ и Беларуси.  https://www.ukr.net/news/details/politics/89774972.html	0
1116	в спайдермене был белым.	0
2422	я просто вашу сучью свору выродков хорошо знаю	1
3750	какой купальник? хуй вывалится из купальника все разбегутся на пляже, не поймут что за чучело 😆😆😆😆😆🤣🤣🤣🤣🤣🤣🤣🤣	1
8173	запад с митингами не шутит, единственное гей парады не трогает,а как их тронешь они такие милые буси)) действительно в варшаве 12.02.2012 полиция защищала гей парад от ляхов.но пидорясы русише всё равно пострадали.не смогли...не уберегли....	1
2242	Россия в изоляции*	0
4472	вы блять сперва старых садиков проверьте,	1
3172	Эм, я так не думаю. Я заработал его честно и справедливо. Я позвоню тебе.	1
7437	все правильно. так все и было .а такие как симонян, кеосаян, мигранян и им подобные , как говорится :- в семье не без урода.	0
2830	не верите это не традиционные ценности.. это всё Обама делает по ночам и солдаты НАТО	0
2148	а кабаевы не гадкая семейка комната грязи чего только стоит	1
6965	посмотрите съёмки с камер джигурда комментирует может измените свое мнение	0
6392	"абу ебаный угомони своих кудрявых друзей или бунт поднимем
"	1
3589	слов нету подходящих .урод тварь	1
2979	эта курица ушла с ключом и не отвечает на звонки. таиланд ко чанг. сижу блядь под дверью дома своего((((	1
3849	Да ну все нахуй(((( жирная она блять пиздец тоже нашла че сказать.......	1
2460	похоже на фейк, но по сути так и есть, просрать страну ради обещаний хорошей жизни это надо уметь	0
1515	бот, ты опять новости перепутал, тут не про Францию новость??????	0
2973	скажите мне митрополит кирилл шизофреник не сергий романов схимонах ставит диагнозы ахилла	1
4525	опять +3? да что за блядство?(	1
