text	target
[id245746531|Андрей], Пропади, моя тоска,  Вот он я, привет, войска!	0
[id15682590|Евгений], я, к примеру, знаю только Влюблённость и Привычку, Общие дети появились, за период влюблённости, общее жильё, общие взгляды на жизнь выработались,  А у кого нет, те разбежались.	0
Потому что деньги. Что вы как первокласники. Вакцина позволяет пилить бабосики. Европа это дело любит и ценит	0
Она несовершенолетная.  Ей пох эти расследования В ответке тренера и врачи	0
Эволюция - мне нравится этот фильм.	0
Нет.	0
[id620419423|Эдуард], ну вот. Оснований для паники нет.	0
[id606524|Павел], ... или воины бомбовозы будут бомбить города, а Украинские ПВО будут боятся их сбить. А вдруг,.?!	0
Иногда это единственный способ отдохнуть.	0
[id32109422|Диман], в 99.9% да, ну ещё пару стран восточной Европы. Цивилизованным людям плевать, отсюда кстати и у ведьмака такая огромная популярность	0
Я неделю не мог к врачу на прием попасть! Минздрав нам врал о пользе вакцинации, а получил от неё обратный эффект - который мы все видим! А теперь, когда врачей не хватает - они нас подозревают в обмане! В зеркало посмотрите!	0
О уже 19-20, а до этого было 15-16??. А до этого католическое Рождество. Новогодние праздники. День, когда промерзнет земля. День открытия олимпиады. ??????	0
[id13834433|Ренат], причём тут олимпиада. Там есть хоккей,  который по сравнению с этими игрищами, которые кто-то назвал футболом, настоящая мужская игра	0
[id8890532|Дмитрий], так только в кремлеботы и берут, больных и тварей	1
[id499300358|Slava], он на больничном, отстань от старичка	0
Похоже, что я живу не в  России, а в Чечне.	0
Может, потому, что не слишком-то эффективная. И получше имеются	0
[id452831118|Александр],	0
[id688989552|Виктор], и чё? Как будто в России в связях с бандитами власть не замечена	0
спасибо за интервью. желаю ему победы	0
Как не могут? А как же 16 февраля?Опять обманули?	0
[id232269|Artem], так ДНР будет нам поставлять доп угл , а мы его продавать	0
[id496882193|Александр], в Кремле и в лучшие годы не понимали, как им на что-то реагировать, а сейчас им такие вот квесты подкидывают. А американцам в любой ситуации будет норм, это уж точно.	0
[id246706929|Денис], мы это на своей шкуре ощущаем,какой то полуголодный порядок	0
[id685229480|Владимир], ну Вы не правы,при Шойгу армия стала одной из сильнейших в мире при относительно не больших расходах,цена-качество...	0
Пять слов для любимого Лентача	0
Это губернатор Кузбасса-Цивилев?	0
[id212943413|Роман], рот жопа и тд любимая тема выродка	1
[id306186388|Имай], дааа. Вот то ли дело ММА, где два потных мужика нюхают друг другу промежность и подмышки. Вот это спорт, это серьёзно. А на самом деле, если у тебя есть психические отклонения, то лучше помалкивать в таких случаях, дабы поменьше палиться.	1
[id18873973|Юлия], эта шутка никогда не устареет:)	0
Это самка орков или что?	0
[id533855183|Михаил], ну мне было лет 15 в те года, так что для меня это действительно прошло не заметно	0
[id31195019|Андрей], методички пропагандиста вакцинации... Если вакцинировались то: 1) если какие - то осложнения то это вы сами такой больной а вовсе не вакцина так подействовала... 2) если заболели ковидом через несколько дней то это по дороге на вакцинацию но точно не из - за самой вакцины... Потому что наша вакцина самая лучшая а весь мир нам завидует... 3) если заболели через несколько недель то это потому что ещё иммунитет не сработал... 4) если заболели через 3 - 4 месяца то это потому что уже снизился уровень антител... 5) если заболели между пунктом 3 и 4 то «вас же предупреждали что не у всех антитела вырабатываются» 6) если заболели в лёгкой форме то это вас вакцина спасла а не ваш иммунитет... 7) если укололись и тяжёло заболели то без прививки ваще бы умерли или как минимум на ИВЛ лежали... 8) если попали после вакцины на ИВЛ или на кладбище то это не от вакцины точно а потому что много других заболеваний было и вообще возраст (без уточнения что именно не так с возрастом) 9) Если не вакцинировались и не заболели то это вам повезло... Вы ещё заболеете причём сразу на ИВЛ... 10) Если не вакцинировались и заболели то сами виноваты ведь правительство о вас заботится (как всегда) 11) А если умерли через полгода после того как пусть даже в лёгкой форме переболели ковидом то это строго от последствий ковида... Не путать с ситуацией когда переболели вакцинировались и умерли... Потому что «вы не понимаете... Это совсем другое»	0
Может, проще было созвониться? ??	0
[id449541184|Денис], даже фотки есть, правда это ещё пару недель назад, но ничего особо не изменилось	0
Фух, хорошо, что это Панорама	0
[id190606532|Илья], как думаешь есть страна, которая может по спутнику позитивную статистику дать?	0
"[id445628606|Буба], ""нам нужны успешные и эффективные собственнтки, невидимая рука рынка все расставит по своим местам"" (журнал ""Огонек"" 1989 год) Ну и кого свободный рынок в Магадан отправит?"	0
[id720923660|Алина], так каклы клоуны, а Зеля верховный клоун. С ними все понятно. Вова ху9рь	1
[id131887586|Антон], зачем начинать ныть? Вы думаете, на этом закончилось всё? Отнюдь нет! Всё самое интересное начнётся после Олимпиады, когда настанет время проверкам! Жалко девочку.. Даже, заработав сейчас медаль, она может потом её лишиться! Скажите спасибо тем, кто дал ей то, на чём она погорела!!!	0
Меньше будет с иноагентами сотрудничать	0
Очень интересно! Спасибо за материал	0
[id88198113|Вячеслав], а сюда Путин добрался)	0
[id699480077|Алёна], откуда взяли что других не проверяли? Это неправда, так что не стыдитесь. Проверяют всех, в особенности претендующих на медали . Препарат находится в списке запрещенных веществ- значит его быть не должно.	0
это мой гугл вас блокирует?(((	0
Может нашим спортсменам когда нибудь разрешат не принимать допинг ?	0
Ну а я будучи одиноким по своей воли, пожелаю реального личного счастья парочкам которые уже прошли многое вместе и действительно дорожат друг другом. Храните ваше счастье в тишине и заботе, несмотря на зависть со стороны и порой не очень хороших мыслей которыми можете отравить самих себя. А если прям нашли кого-то верного и заботливого к себе, плевать на какие-то минусы и обстоятельства, цените такого человека или по карме останитесь без ничего.	0
на третьем фото убийца или сам замглавы?	0
[id688989552|Виктор], похоже на фейк, но по сути так и есть, просрать страну ради обещаний хорошей жизни это надо уметь	0
До той поры, пока у власти в России будет стоять Путин, мир не будет знать покоя, и чем раньше он этой поймёт, тем будет лучше для всех нас. Перестаньте считать деньги, примите один раз такие санкции, после которых от Путина и его шайки не должно остаться даже мокрого места и мир восстановится, и вы возвратите свои бабки!	0
[id693695198|Максим], правильно подметили - остальную статистику скрывают. Сердечников и от онкологии очень много умерло, т.к. им 3-ий год не оказывается мед. помощь.	0
... Гусь да гагарочка ??????	0
[id282684463|Дмитрий], как кто? Байден. Хороший ответ,прокремлевец?	0
- Вы готовы дети? - Да, Владимир! - Я не слышу! - Так точно Владимир Владимирович! - Ээээээ, кто окружает Россию скажите! - НАТО, НАТО! - Кто к нам крадётся в подводной пустыне? - НАТО! НАТО! - Кто охуел возле наших границ? - НАТО! НАТО! - Кто бы помог нам у южных границ? - БАТЬКА! БАТЬКА!	0
В Чехии напряглись, после предложения депутата Закускина о депортации!	0
"Ну наконец-то котлетная фея появилась,а то уж соскучились,все-таки своя славянская ""псаки""!"	0
[id685229480|Владимир], гнусный выродок, перестань путать реальность с вымыслом	1
Столько фильмов детства снял. R.i.p	0
[id133228257|Константин],	0
[id573289077|Логунов], ??	0
[id72210965|Илья], выполнили бы минские соглашения, и проблем бы не было у Украины. Просто США тогда не смогла бы вводить санкции против России.	0
[id67208691|Александр], не уверен на 100 %, но мне кажется это отсылка к одной из песен из нового альбома Окси в которой упоминается Шульман	0
15 числа будет суд над жуликом Навальным. Этот ворюга украл деньги которые ему донатили на выборы! Ему грозит до 15 лет лишения свободы. Об этом вы найдете на канале Дмитрия Пучкова с Ильей Ремесло от 9 февраля. Расследования Навального это фальшивка. Когда он звонил якобы отравителю, то записал три дубля! Все есть в эфире доктора Сосновского на Соловьев live от 7 февраля.  Надеюсь вору Навальному дадут все 15!	1
Дебилы!	1
Так независимых и нет, судя по вашим статьям из Харькова про воюющих бабок и кухарок против путина.	0
какие ценности может  рассматривать патологическое ВОРЬЕ???	1
[id306186388|Имай], шо, короля цитируем? Пять	0
[id88198113|Вячеслав], это констатация фактов.  Договорнячок Байдена и Путина работает. Еще не много и киевский режим под давлением США выполнит Минские соглашения-2. И все будут довольны. Россия получит Украины и не расширение НАТО, а Байден обьявит себя миротворцем, тк помог прекратить третью мировую войну и реализовал Минские соглашения-2, что никто не смог сделать 8 лет до него. Все в плюсах, кроме бандер, которых  начнут сажать	0
Сколько можно мусолить это	0
[id172606563|Дмитрий], злопыхатель: азаза, вот десяток ботов, вся Россия с тобой (нет).  Крайний пост в личном Инстаграме Камилы: ТЫСЯЧИ положительных комментариев со словами поддержки.  Pathetic.	0
"Нормальные люди: ""Опачки, новая пандемия. Странно, что этого не случилось раньше, при нашей-то плотности населения. Ну что ж, более менее понятно, что делать: то же, что и при любой другой инфекции. Ну и исследовать её, родимую, чтобы скорректировать защитные меры. Хорошо, что мы уже неплохо знаем, как работают вирусы, как работают пандемии и вот это всё."" Сумасшедшие: ""Смотрите, у них паника! Паника! Они во время пандемии делают что-то, чего не делали в остальное время, значит, они паникуют! Они думают, что наступил конец света и из-за этого что-то делают, вот параноики! А из-за того, что они что-то делают, наступит настоящий конец света!"""	0
Водителям, которых лишили прав за пьянку надо не в банку а на лицо себе писать	0
WP подтвердил, а Пентагон нет... Странно. Кто у кого инфу пи&дит?	0
[id190831983|Александр],	0
[id658179580|Сергей], многое.	0
[id281782216|Александр], им бандера снится каждую ночь	0
"[id172606563|Дмитрий], а ты читать новости дальше заголовков не можешь?  ВАДА заявило, что проба не была помечена, как ""приоритетная"". Дело не в том, подписана она или нет.  То есть, все пробы обработали и загрузили в базу, а одна где-то болталась месяц.  А потом ещё и не была помечена как приоритетная (хотя с чего это именно она должна была быть помечена?), хотя должна была быть загружена вместе со всеми остальными пробами в срок. Там не важно, помечена или нет. Привезли в 20-дневный срок, все пробы загрузили в базу. Всё.  Сейчас уже пошло маняврирование."	0
[id666017696|Дмитрий], +15, лахтапитта?@с??	1
Ммм, ещё два дотационных региона в родную бухту на плечи налогоплательщиков.	0
Интересно, а подобный перекос в сторону русскоязычной музыки/клипов в рамках этой рубрики делается сознательно?	0
[id2500028|Игорь], не верите это не традиционные ценности.. это всё Обама делает по ночам и солдаты НАТО	0
[id704299748|Альберт], там дочь, а не жена	0
Если Зеленский не выполнит минские соглашения, то Россия признает ЛДНР.	0
"[id368574468|Сергей], работают они, формируют ""общественное мнение"""	0
[id85818531|Артур], как они выглядят?)	0
[id95947521|Леонид], Niggalas	0
[id181235759|Михаил], это говорит потомок заряжающих воду перед телевизором на ТВ-сеансах Чумака?	0
Надо же им как-то оправдать трату дофига миллионов на армию, что топчется на границе с Украиной.	0
Если русский напишет, что хочет отрезать голову депутату, через сколько его найдут???	0
[id664517645|Игорь], извращенцев что ли ?	0
"[id313859623|Николай], Россия,а не твоя ""ряшка"",переживала и не такое..Знаешь мужик,мне 49 и,если честно-надоело жить,последние 32 года,в постоянном напряжении!Пожили норм,года с 08 по 14-й и все..То борька-ckoт пьяный,то Чечня,теракты,безработица,мотания за тысячи км от дома,что бы заработать копейку,потом,в 14-м,рухнувшая зарплата,сгоревшие накопления и т.д..Надоело это напряжение,хочется спокойной жизни,с адекватным руководством страны,хочется стабильности..Если тебе хочется обратного,то ты-малолетка-максималист и у тебя нет детей,за которых просто страшно!"	1
Более прямо написать что тётя желает устроить провокацию она не могла... У меня предложение реально пустить её, и при провокации закрыть на максимальный срок.. по крайне мере оскорбления суда она запланировала...	0
срать хотел ентот вирус на нашу вакцинацию ...	0
Это только по поводу разрешения дальше выступать. По поводу результатов командного выступления решение будет принято позже и отдельно.	0
Сыграл достойно? Есть басисты?	0
[id5786648|Sly], Наливкин в призидентом должен быть Я за него !!	0
[id190606532|Илья], Ну у нас статистика засекречена, может потом лет через 20 откроют. Но есть другие страны, где ведется, как с ними быть? В Казахстане после вакцинации от коронавируса российской вакциной «Спутник V» за 9 месяцев скончались больше 680 человек. Об этом заявил глава минздрава республики Алексей Цой	0
[id499300358|Slava], сейчас бы сравнивать вс рф начала 90ых и 2020ых?????	0
[id655423629|Артур], на допинге она может все забрать. Кто спорит?	0
Зачем алконавтам вообще права отдавать, пусть на великах гоняют??	0
[id255078|Жанна], почему долбёжку не исследованными до конца препаратами назвали вакцинацией, до сих пор не пойму! Но, Жириновский, наверное, более умный, чем я, семь раз вжарился, или, сколько там, я со счёта сбилась, как и он сам, теперь вечно живой будет...	0
[id698330513|Muammar-Muhammad], достаточно посмотреть на твой идиотский ник и на тех, кто поставил тебе лайки, чтобы понять, что ты очередное путинское дерьмо из пригожинского подвала.	1
[id688989552|Виктор], родня твоя зарыта тут ? никому не интересно ) боторылый )	1
В путинской России возможно только коллективное сумасшествие и отупение, а всё остальное у каждого своё!	0
[id314063098|Кирилл], в североамериканском сегменте правых сейчас модно называть демократов социалистами. В основном просто из-за обусловленной пандемией возросшей политики соц поддержки, ограничений и курса на зелёную экономику	0
Чеченцы нашли безотказный метод делового общения не только с простыми гражданами, но и с российскими чиновниками, так сказать. Это не с диванными экстремистами воевать, тут даже главный стыдливо отмалчивается.  Как говорится, зачем просить, если можно угрожать. Хохлы нам за это ответят, конечно.	1
[id364267125|Анатолий], что ты несёшь??????	0
Девочке разрешили покататься на льду, попрыгать и пораздвигать ножки перед публикой.	0
Еще недавно депутаты ЕдРа призывали резать головы. Как после этого относится к новым призывам?	0
[id245116690|Виталий], это преступления официально осуждены руководством чечни и Российским государством и по ним заведены уголовные дела и ведётся расследования	0
[id496882193|Александръ], так и пусть будет вариант с ненападением, нам-то какое дело до чужого имиджа. Ресурсы уже поставлены, деньги затрачены. Повезет, если украина как-то сможет от них откреститься, чтобы не расплачиваться *много* лет.	0
[id1887043|Николай], тупое стадо заблуждается. Нужны такие же умные люди, как мы с тобой, братан. Я очень хотел бы, чтоб Леголас был чёрным. Ты со мной, бро?	1
[id483002399|Maxim], у меня начальница 20 декабря привилась пфайцером, а до этого модерной. И болеет сейчас.	0
[id185088245|Константин], сейчас еду домой от тян, гайд не понадобился	0
[id287796597|Никита], <новость об сша <прилетаешь сша	0
Так и  наши буржуи побегут, как только чуть народ зашевелится .	1
[id189846595|Владислав], и то не вариант)) скажут, чтоб из дома удаленно работал дальше	0
[id21206235|Ренат],	0
[id2747733|Антон], никогда не болей в январе, не совершай моих ошибок	0
я хочу жить по навязанным западом ценностям а не сраным совком и москвой	1
[id658179580|Сергей], если ризнают , это пожалуй на руку Украине	0
[id695904995|Ярослав], смотри,уедешь на завод в кавказ и будешь там кукарекать	1
Да дайте ей уже эту медальку	0
??	0
"Огромный старый мост?!??  Ммм, почти как песня из ""Король и Шут"" - Проклятый старый дом..."	0
??	0
Санитары! Тут кремлебот сам с собой разговаривает!	1
[id1264130|Luchshy], по самую голову	0
[id164197748|Маргарита], уж не в Ооеше ли вы видеть мать-родную? ????????	0
"""Борцы за правду не читали оригинального произведения, они лишь прочитали про искажение цитаты из новостей"""	0
Почему СМИ США и Европы знают всё о нападении а наши либеральные СМИ ничего не знают!?....????	0
Ничтожное фиаско  ­По законам жанра детектива Раскрываем преступленье века Против вида, против человека, Факты искажают вкось и криво.  Кто же зачищает нашу Землю, Век назад сменив нам медицину, Чтоб вколоть сегодня нам вакцину, Просыпайся, род людской, и внемли.  Подлый и безжалостный народец Разбомбил практически всю Землю, Род людской, проснись и фактам внемли, Кто он, сей кровавый инородец…  Это было двести лет назад, И три года мы не знали солнца, Инеем покрылись все оконца, Поменялся в мире весь фасад.  Нежить погубила всю планету, С карты исчезали государства, Сгинули империи и царства, Геноцид остался без ответа.  Кто с тех пор занял места во власти, Исподволь меняя человека, С той поры прошло уже два века, Вновь вернулись беды и напасти.  Лишние мы на родной планете, Кто решил, нам это неизвестно, Процветает нелюдь повсеместно, Мир не будет радостен и светел.  Сократят вакциной поголовье, Как постыдно, нашими руками Заклеймят и сделают рабами. Вновь скрижали перепишут кровью.  Рьяно исполняются приказы, Холуёв у них уже в избытке, Плесень отбирали не под пыткой, Двести лет прислуживали ГЛАЗУ.  Развратили люд наш безвозвратно, БЕСпринципным проще управлять, Больше не пример… отец и мать, Но вернулось эхом многократно.  Платим по счетам за лень и трусость, Поголовно в займах и кредитах, Всё в руках отъявленных бандитов, Инструмент у них, известно, гнусность.  Сколько отвели нам изуверы, Сколько нам осталось жить на свете? Сами пред собой, позор, в ответе, Не имеет нелюдь здравой меры.  Не суди о мразях, человече, По своим критериям и взглядам, Ничего в них нету кроме яда, Есть надежда, что ещё не вечер…	1
[id545149832|Татьяна], жене не повезло...	0
[id5076226|Никита], не многие вспонят	0
Отечественный Китай спасёт положение))) типикал импортозамещение	0
А все потому что она заслужила это!И заслужила так,как никто другой!В таком то возрасте победить вау!	0
"Может эти все ""члены Форбс"" с обеих сторон в Лондоне меж собой и вовоюют?! Ахметов с Ротенбергом, Коломойский с Абрамовичем, итд!"	0
[id381238439|Евгений], он про каклошвайнов и сeрливых набутылочных либерах	1
[id7768238|Дмитрий], не то, что твой хозяин, на киче чалился при СССР еще	0
Медуза, у вас очень длинная ссылка на сайте в адресной строке. Невозможно её дать где-то для распространения. Учитесь у Би-Би-Си и других умных СМИ	0
[id247179055|Иван], на этого Делимханы рот не откроют. Плохо будет.	0
Конечно, Матвей. Сказать нечего, особенно человеку, который только сегодня тебе простынь текста написал. Мне лично тебе сказать нечего не потому что я ничего не знаю. А потому что разговаривать с быдлом это всё равно, что разговаривать с ослом или со стенкой. Смысла никакого нет. Руснявое быдло как обычно показало себя во всей красе.	1
[id2500028|Игорь], хочешь купон на скидку в бургер кинг дам?	0
[id52792012|Павел], вот народ, что вообще не делает выводы? Вакцинация сейчас единственный метод защитить себя от ковидных обстоятельтсв!	0
Очередной протест в очередной тоталитарной помойке.	0
[id368574468|Сергей], они же шавки без своего мнения. куда скажут. туда метнутся	1
[id652812050|Андрей], впервые в России, по заявке обнуленыша!	1
[id174890357|Павел], эта по 150 р?	0
[id1070940|Павел], тогда чего не едешь в КНДР?	0
Эти гении геополитики,даже не смогли замечание сделать Кадыровской пехоте,за угрозы отрезать головы семье судьи.	0
[id131887586|Антон], после выполнения Будапештского Меморандума, говорю.	0
[id172072104|Егор], а я то думаю, чего подвидео столько этих фраз, типа намёки?	0
Как там Жирик, жив еще ?	0
[id658179580|Сергей], истерят боты либерасты и их прихвостни кастрюлеголовые выродки, а я мысли излагаю	1
[id452831118|Александр], этот планшет на 99% Китайский	0
Хреново быть российским представителем ахахах	0
"[id10722607|Ильдаръ], ты почему не на работе ""программист""?"	0
[id16268248|Александр], а было 16	0
Как никто не знает? Да на российских иностранных агентах любой АНАЛитик знает все мысли и планы Путина??????	1
[id57537254|Дмитрий], где ты видел у Валиевой допинг и какое это имеет отношение к олимпийским играм?	0
[id554549313|Влад], не забывай что это территория другого государства.	0
Самая большая проблема кремля это население ... как заставить его ненавидеть запад и США ...без регулярной пропагандисткой порнографиии ... последние исследования самых богатых слоев населения страны показали что 68 % из их по прежнему хранят все свои сбережения в долларах США .....т е они все ждут угара Путина ....	0
[id33872137|Alex], во что пи.дор?	1
[id12353081|Никита], он её уже добил?? Теперь надо воевать для отвлечения внимания.	0
Короче пропагандон очередной с однобокой позицией ))	1
"Да-да, западный мир уже лет как сто ""погибает"", продолжайте наблюдение??"	0
"Просто напомню, что совсем недавно Делимханов призвал отрезать головы родным экс-судьи Янгулбаева.. Так какие именно единоросы ""портят нам всё""? Те, которые не разрешают нелегально торговать, или те, которые призывают отрезать головы людям, и тем, кто переведут на русский язык их призывы отрезать головы людям???"	0
Быдлопрезик из питерской подворотни…	1
[id185913560|Динара], скорее просто передадут, но никакой церемонии, если Валиева будет на пьедестале не будет. Лучше что бы ее вообще не пустили дальше соревноваться в этой Олимпиаде, потому что высок шанс, что ее открыто засудят	0
[id606524|Павел], не думаю, что они велики настолько, что перевешивают опасность от провокаций в небе.	0
[id371671817|Кирилл], что такое 15 р?	0
[id1844916|Владимир], ну да не будет, будет ли россия делать киев-2 если какая то область внезапно объявит о независимости?	0
А что это изменит практически?	0
А почему поотдельности? Чем отличаются эти две т.н. республики?	0
[id197393836|Иван], про тебя же тупой холоп, че непонятно? )	1
Жаль девчонку, из за своей страны сгубит свою карьеру)	0
[id652812050|Андрей], в Латвии пусть волнуется	0
"[id10722607|Ильдар], а почему ""гуманитарные"" грузы из России в непризнанные республики нельзя было останавливать для проверки в 2014-м? А куда подевались видео из Контакта с танком с российским флагом в ДНР того же года?"	0
[id27262767|Георгий], аааа . Ты про своего  зеленского ?	0
[id256116|Игорь], как такая теория может существовать, если праздник пошел от священника, который тайком венчал традиционные пары?	0
[id985594|Юра], там кпрф	0
Зло не может создать ничего нового, вот и нормальный сериал создать тоже не смогло.	0
Тихановская самый не авторитетный лидер и слушать её, себя не уважать. Ведь именно из-за её трусости сейчас в Белорусии такая беда.	0
